J,n,design,time_old,MISEeigen_old,MSEscore_old,time_new,MISEeigen_new,MSEscore_new,
100,100,regular,0.00764530420303345,0.0717285654077683,0.0418182788002317,0.0153877067565918,0.0379474168673604,0.0274239581622187,
200,100,regular,0.00640653371810913,0.046381864227119,0.0257079493792178,0.0167012906074524,0.0131724544278976,0.0119481917637351,
500,100,regular,0.00917979001998901,0.0384667031975877,0.0200180100482627,0.0265522265434265,0.00655589343262427,0.00683888946572927,
100,1000,regular,0.0158913254737854,0.0391019743421554,0.0260212975534544,0.0352756190299988,0.0374268786664262,0.0258801002964969,
200,1000,regular,0.0376362133026123,0.0193959250062258,0.0136646986304662,0.0559688711166382,0.0147824656866013,0.0115628293871464,
500,1000,regular,0.0693259406089783,0.0101685917288994,0.00650686780878691,0.15895336151123,0.0063858331405638,0.00493035534078714,
100,10000,regular,0.174999072551727,0.0296488439038392,0.0214183689156058,0.221276638507843,0.0291623462946102,0.021315632806848,
200,10000,regular,0.233385984897614,0.0171622371587898,0.0120191363749897,0.274591500759125,0.0164781937480224,0.0117909417528178,
500,10000,regular,0.493175759315491,0.00636080534655031,0.00479156081234127,0.606936295032501,0.00612841311632893,0.00466684053405641,
100,100,irregular,0.0467754697799683,0.0729057873957413,0.0434561275523843,0.0585643577575684,0.0364033048872923,0.0287991098598264,
200,100,irregular,0.0800413489341736,0.047344031450879,0.0280392609679875,0.101507878303528,0.013442875275777,0.0143768790238675,
500,100,irregular,0.184734859466553,0.0386650425413322,0.0220823089833151,0.238029532432556,0.00683235337597385,0.00931319466006015,
100,1000,irregular,0.121880338191986,0.0385503652082398,0.0258759102061957,0.150582721233368,0.0368440514879365,0.025702100802059,
200,1000,irregular,0.22428097486496,0.0192267766941878,0.0136672725939974,0.27501336812973,0.0146702590778144,0.0115828227335538,
500,1000,irregular,0.576484699249268,0.0102739383938288,0.00663692369334531,0.645778024196625,0.00654592003539469,0.00508693843936693,
100,10000,irregular,0.813784041404724,0.0295174275255708,0.0213447681510242,0.887352073192596,0.0290309147467956,0.0212374179913679,
200,10000,irregular,1.50793062210083,0.0171088571201609,0.0119857340536531,1.71511839151382,0.01644410895892,0.0117624476463392,
500,10000,irregular,5.19453652381897,0.00638048301649782,0.00479586790313993,6.542133436203,0.00614775128802878,0.00467119429671408,
