J,n,design,time_old,MISEeigen_old,MSEscore_old,time_new,MISEeigen_new,MSEscore_new,
100,100,regular,0.0271083474159241,0.0329405884645829,0.0252223172929965,0.0699399209022522,0.030991184653126,0.0241005612709796,
200,100,regular,0.0289843726158142,0.0154928461524123,0.0132578830270532,0.0795735311508179,0.0142908951387778,0.0126398045414453,
500,100,regular,0.0342470836639404,0.00699551575111778,0.00686547956021511,0.0851418733596802,0.0062792910891887,0.00656701488308378,
100,1000,regular,0.0467114281654358,0.0335538156274158,0.0234550063414882,0.106388766765594,0.0333895919718987,0.0233520259391749,
200,1000,regular,0.0668131566047668,0.0142788561145031,0.0109183345528424,0.211651241779327,0.0141978767015433,0.0108687696687947,
500,1000,regular,0.326137285232544,0.00609292114260812,0.0046482158357336,0.514172749519348,0.00606234627221256,0.00463015664945043,
100,10000,regular,0.847827281951904,0.0341226642759284,0.0234456684517613,0.868749680519104,0.034122664275927,0.0234456684517607,
200,10000,regular,1.10229156970978,0.0144297796540232,0.0108085387658073,1.1311750125885,0.0144297796540211,0.0108085387658053,
500,10000,regular,1.9932431936264,0.00604439838349079,0.00447539049150095,2.22338860273361,0.00604439838349212,0.00447539049150199,
100,100,irregular,0.173552784919739,0.0318150705424163,0.0268221395897212,0.281574594974518,0.0301165963148983,0.0257576650406924,
200,100,irregular,0.310958068370819,0.0155082984341465,0.015549223861557,0.488294982910156,0.0144492932380665,0.0148912426812445,
500,100,irregular,0.689174175262451,0.00704071744171632,0.00933673184944441,0.964968979358673,0.00642601078263478,0.00897641949979371,
100,1000,irregular,0.402438912391663,0.0325263019199487,0.02313147998226,0.537399351596832,0.0323782414527113,0.0230276688768524,
200,1000,irregular,0.750342566967011,0.0141445048351822,0.0109809518169152,1.08856968402863,0.014072100729648,0.0109291138999264,
500,1000,irregular,2.13948130369186,0.00624980709275596,0.00480606941685897,2.24364711284637,0.0062237226537045,0.0047846853516486,
100,10000,irregular,3.14205944299698,0.0338636742270196,0.0233375658283045,2.91592764377594,0.0338636742270176,0.023336599543279,
200,10000,irregular,5.41370041370392,0.0143975321566414,0.0107899574388382,5.65731715202332,0.0143975321566391,0.0107887471223817,
500,10000,irregular,12.4544992208481,0.00605972689898889,0.00448294429214433,13.3885428214073,0.00605972689898981,0.00448264266704013,
