J,n,design,time_old,MISEeigen_old,MSEscore_old,time_new,MISEeigen_new,MSEscore_new,
100,100,regular,0.0259188508987427,0.0717285653961329,0.0418182787671919,0.0649058175086975,0.037947416903386,0.0274239581680002,
200,100,regular,0.0288727140426636,0.0463818642353446,0.0257079500003541,0.0743424201011658,0.013172454502511,0.0119481926028486,
500,100,regular,0.0356381797790527,0.0384667031026097,0.0200180100068667,0.0847660732269287,0.00655589341159513,0.0068388894501232,
100,1000,regular,0.051143798828125,0.0391019743430567,0.0260212991722414,0.144124276638031,0.0374268786678581,0.0258801019178771,
200,1000,regular,0.0696453738212585,0.0193959250060489,0.0136646985022066,0.200978088378906,0.0147824656862782,0.0115628292642952,
500,1000,regular,0.212290675640106,0.0101685917288665,0.00650686782563171,0.478721199035645,0.00638583314059658,0.00493035535209215,
100,10000,regular,0.88762017250061,0.029648843903864,0.0214183689407259,0.794941992759705,0.029162346294668,0.0213156328319225,
200,10000,regular,0.953114883899689,0.0171622371588106,0.0120191363866176,1.10316577672958,0.0164781937480399,0.0117909417644517,
500,10000,regular,2.22200218677521,0.00636080534655328,0.00479156081887846,2.17077493667603,0.00612841311635349,0.00466684054060248,
100,100,irregular,0.168044157028198,0.0729044449308697,0.0434549006930206,0.310543451309204,0.0364022560077759,0.0287984797316497,
200,100,irregular,0.310660076141357,0.0473439613556923,0.0280390901195237,0.490109429359436,0.0134451614563112,0.0143777603135577,
500,100,irregular,0.700493857860565,0.038663457024619,0.0220830962590621,0.989502964019775,0.00683017612430524,0.00931311403187092,
100,1000,irregular,0.401746423244476,0.0385503659284812,0.0258759104402554,0.535626382827759,0.0368440522601468,0.0257021010883588,
200,1000,irregular,0.810082683563232,0.0192267771121994,0.0136672727092609,1.03830708742142,0.0146702598227084,0.011582822998706,
500,1000,irregular,2.19007914543152,0.0102739383813575,0.00663692366619872,2.21423282623291,0.00654592030421051,0.00508693850225855,
100,10000,irregular,2.78263517618179,0.0295174280155781,0.0213447684079299,3.10079430341721,0.0290309152986041,0.0212374183116291,
200,10000,irregular,5.36905655622482,0.0171088569754387,0.0119857340135574,5.69922479629517,0.0164441088751957,0.0117624476220626,
500,10000,irregular,12.4769338345528,0.00638048282394908,0.00479586785667747,13.5641658329964,0.00614775107418393,0.00467119422451467,
